INSTCODE,ACRONYM,ECPACRONYM,FULL_NAME,TYPE,GENEBANK_LONG_TERM_COLLECTIONS,BOTANICAL_GARDEN,GENEBANK_MEDIUM_TERM_COLLECTIONS,GENEBANK_SHORT_TERM_COLLECTIONS,STREET_POB,CITY_STATE,ZIP_CODE,PHONE,FAX,EMAIL,URL,LATITUDE,LONGITUDE,ALTITUDE,UPDATED_ON,V_INSTCODE,ISO3
BFA023,ME,,Ministère en charge de l'Environnement,Governmental,0,0,0,0,03 BP 7044 Ouaga 03,Ouagadougou,,+226 25 33 54 84 / 25 33 05 12,,,,null,null,null,01/04/2022,BFA023,BFA
BFA024,DAFR,,Direction de l'Aménagement Forestier et du Reboisement,Governmental,0,0,0,0,BP 7044,Ouagadougou,,,,,,null,null,null,01/04/2022,BFA024,BFA
BFA025,IDR,,Institut du Développement Rural,Governmental,0,0,0,0,B.P. 7021,Bobo Dioulasso,,,,,,null,null,null,01/04/2022,BFA025,BFA
BFA026,Station Gampella,,Station de Gampella,Governmental,0,0,0,0,,Gampella,,,,,,null,null,null,03/03/2022,BFA026,BFA
BFA027,CIRAD,,Centre International de Recherche Agronomique pour le Développement,,0,0,0,0,"688 avenue du professeur Ky Zerbo, 01 BP 596",Ouagadougou,,+226 25 30 70 70,,,,null,null,null,01/04/2022,BFA027,BFA
BFA028,IRD,,Institut de Recherche pour le Développement,,0,0,0,0,"668, avenue, Pr Joseph Ki-Zerbo-Koulouba, 01 BP 182 Ouagadougou 01",Ouagadougou,,+226 25 49 76 12,,burkina-faso@ird.fr,,null,null,null,19/04/2022,BFA028,BFA
BFA029,CILSS,,Comité Permanent Inter-Etats de la Lutte Contre la Secheresse dans le Sahel,Governmental,0,0,0,0,03 BP 7049 Ouagadougou 03,Ouagadougou,,+226 50 37 41 25/26,+226 50 37 41 32,cilss.se@cilss.bf,www.cilss.bf,null,null,null,05/04/2022,BFA029,BFA
BFA031,UA-SAFGRAD,,La recherche et le développement des céréales vivrières semi-arides de l’Union africaine,,0,0,0,0,01 BP 1783 Ouagadougou 01,Ouagadougou,,+226 50 30-60-71 / 50 31-15-98,,ElmekassA@africa-union.org,www.ua-safgrad.org/index.php,null,null,null,19/04/2022,BFA031,BFA
BFA032,CEDEAO,,Communauté Economique des Etats de l'Afrique de l'Ouest,Governmental,0,0,0,0,BP 634,Ouagadougou,,,,,,null,null,null,03/03/2022,BFA032,BFA
BFA034,IITA,,USAID/IITA/SAFGRAD,CGIAR,,,,,BP 1783 or 1495,Ouagadougou,,33358/33227,,,,null,null,null,12/12/2014,BFA034,BFA
BFA035,CIMMYT,,Centro Internacional de Mejoramiento de Maíz y Trigo,CGIAR,,,,,"c/o SAFGRAD/OAU, BP 1495",Ouagadougou,,,,,,null,null,null,12/12/2014,BFA035,BFA
BFA036,IIMI,,"Bureau Régional, Institut International du Management de l'Irrigation",CGIAR,0,0,0,0,01 BP 5373 - Ouagadougou 01,Ouagadougou,,+226 25 30 06 18,+226 50 31 06 18,,,null,null,null,05/04/2022,BFA036,BFA
BFA037,DPNRF,,"Direction des Parcs Nationaux, des Réserves de Faune et des Chasses",Governmental,0,0,0,0,,,,,,,,null,null,null,05/04/2022,BFA037,BFA
BFA039,USAID,,United States Agency for International Development,,0,0,0,0,B.P. 355,Ouagadougou,,-5148,,kdaboville@usaid.gov,,null,null,null,05/04/2022,BFA039,BFA
BFA040,FAO,,FAO Burkina Faso,United Nations,0,0,0,0,"01 BP 2540, Ouagadougou 01",Ouagadougou,,+226 50 30 60 57,+226 50 31 00 84,FAO-BF@fao.org,,null,null,null,05/04/2022,BFA040,BFA
BFA042,GRAAP,,Groupe de Recherche d'Appui à L'Auto Promotion Paysanne,Governmental,,,,,BP 785,Bobo Dioulasso,,,,,,null,null,null,12/12/2014,BFA042,BFA
BFA043,UNDP,,United Nations Development Programme,United Nations,0,0,0,0,"34, Avenue du Conseil Economique et Social Immeuble des Nations Unies - Koulouba, 01 BP 575 Ouagadougou 01",Ouagadougou,,+226 25 30 67 62 / 63 / 64,+226 25 33 27 46,registry.bf@undp.org,http://www.bf.undp.org,null,null,null,19/04/2022,BFA043,BFA
BFA044,IRHO,,Institut de Recherche pour les Huiles et Oléagineux,,0,0,0,0,BP 1345,Ouagadougou,,,,,,null,null,null,04/03/2022,BFA044,BFA
BFA045,CNSF,,Centre National de Semences Forestières,Governmental,1,0,0,0,"01 BP 2682, CC5V+MP7",Ouagadougou 01,,+226 25 35 61 10 / 11,,cnsf@fasonet.bf,,12.2,-1.45,null,19/04/2022,BFA045,BFA
BFA046,CRREA/Est,,Direction Régionale de Recherches Environnementales et Agricoles Est Kouare - Ba,,0,0,0,0,BP 208 Fada N’Gourma,Fada N’Gourma,,+226 24 77 01 87 / 24 77 02 37,,Kouare@fasonet.bf,,null,null,null,19/04/2022,BFA046,BFA
BFA047,IRSS,,Institut de recherches en science de la santé,,0,0,0,0,03 B.P. 7192 Ouagadougou 03,Ouagadougou,,+ 226 25 36 32 15,+226 25 36 03 94,dirss@fasonet.bf,,null,null,null,05/04/2022,BFA047,BFA
BFA048,ISN,,Institut des Sciences de la Nature,Governmental,0,0,0,0,,,,,,,,null,null,null,04/03/2022,,BFA
BFA049,Station de Leo,,Station de Leo - Antenne de la station de Farako Ba de l’INERA,,0,0,0,0,,Leo,,,,,,null,null,null,05/04/2022,BFA049,BFA
BFA050,BNUR,,Bureau des Nations Unies pour la Région Sudano-Sahélienne,United Nations,0,0,0,0,01 BP 366 Ouagadougou 01,Ouagadougou,,+226 25 30 63 35 / 37,+226 25 31 05 81,,,null,null,null,05/04/2022,BFA050,BFA
BFA051,CRTO,,Centre Régional de Télédetection de Ouagadougou,Governmental,0,0,0,0,01 BP 385 - Ouagadougou 01,Ouagadougou,,+226 25 35 75 01,,,,null,null,null,05/04/2022,BFA051,BFA
BFA052,BM,,Banque Mondiale,International,0,0,0,0,"BP 622, 9F9P+9HH, Koulouba",Ouagadougou,,+226 50 49 63 00,,,,null,null,null,19/04/2022,BFA052,BFA
BFA054,FS,,Faculté des Sciences,,0,0,0,0,,Ouagadougou,,,,,,null,null,null,04/03/2022,BFA054,BFA
BFA055,CNRST/INERA,,Coordination en Matière de Ressources Phytogénétiques,Governmental,0,0,0,0,03 BP 7192,Ouagadougou 03,,+226 31 92 02 - 08 / 33 65 17,+226 34 02 71 / 31 92 06,,,null,null,null,04/03/2022,BFA055,BFA
BFA056,DGPV,,Direction Générale des Productions Végétales,Governmental,0,0,0,0,"03 BP 7005, Secteur 27",Ouagadougou,,+226 25 49 99 27,+226 25 37 58 05,,,null,null,null,19/04/2022,BFA056,BFA
BFA057,INERA,,Institut National de l'Environnement et de Recherches Agricoles,Governmental,,,,,01 BP 8645,Ouagadougou,1,,,,,null,null,null,12/12/2014,BFA057,BFA
BFA058,,,OAU/SAFGRAD Coordination Office,,,,,,BP 1783,Ouagadougou,,(226) 30 60 71- 31,31 15 86,oua.safgrad@fasonet.bf,,null,null,null,19/02/2015,BFA058,BFA
BFA059,UNB,,Université Nazi Boni,,0,0,0,0,,Bobo-Dioulasso,,+226 20 98 06 35,,Info@u-naziboni.bf,,null,null,null,19/04/2022,BFA059,BFA
BFA060,BURCIK,,Burkina Faso Resource Centre for Indigenous Knowledge (Centre Burkinabè de Recherche sur les Pratiques et Savoirs Paysans),,0,0,0,0,BP 5154 Ouagadougou 02,Ouagadougou,,+226 36 07 46,+226 31 50 03,,,null,null,null,19/04/2022,BFA060,BFA
BFA061,BN CRA,,Bureau National/ Chambres Régionales d'Agriculture,,0,0,0,0,01 BP 30 Ouadougou 01,Ouagadougou,,+226 50 36 41 28,,bncra@fasonet.bf,,null,null,null,19/04/2022,BFA061,BFA
BFA062,CF,,Coopération Française,Governmental,0,0,0,0,,,,,,,,null,null,null,04/03/2022,BFA062,BFA
BFA063,DGAHDI,,Direction Générale des Aménagements Hydro-agricoles et du Développement de l'Irrigation,Governmental,0,0,0,0,03 BP 7123 Ouagadougou 03,Ouagadougou,,+226 50 37 58 36,+226 50 37 58 39,ccppiv@fasonet.bf,,null,null,null,19/04/2022,BFA063,BFA
BFA064,DGPV,,Direction Générale des Productions Végétales,Governmental,,,,,01 BP 1764,Ouagadougou 01,,(226)324654/36508,(226)336508,,,null,null,null,19/09/2014,,BFA
BFA065,DRAHRH,,"Directions Régionales de l'Agriculture, de l'Hydraulique et des Ressources Halieutiques",,0,0,0,0,,,,,,,,null,null,null,04/03/2022,BFA065,BFA
BFA066,GPS,,Groupement des Producteurs Semenciers Batié,,0,0,0,0,,,,,,,,null,null,null,07/03/2022,BFA066,BFA
BFA067,GPS,,Groupement des Producteurs Semenciers Bopoure-boor,,0,0,0,0,,,,,,,,null,null,null,07/03/2022,BFA067,BFA
BFA068,GPS,,Groupement des Producteurs Semenciers de Cassou,,0,0,0,0,,,,,,,,null,null,null,07/03/2022,BFA068,BFA
BFA069,GPS,,Groupement des Producteurs Semenciers de Tagnan,,0,0,0,0,,,,,,,,null,null,null,07/03/2022,BFA069,BFA
BFA070,GPS,,Groupement des Producteurs Semenciers Poni/Noumbiel,,0,0,0,0,,,,,,,,null,null,null,07/03/2022,BFA070,BFA
BFA071,GPS,,Groupement des Producteurs Semenciers Terria,,0,0,0,0,,,,,,,,null,null,null,07/03/2022,BFA071,BFA
BFA072,GS,,Groupement villageois semencier de Pobé- Mengao,,0,0,0,0,,,,,,,,null,null,null,07/03/2022,BFA072,BFA
BFA073,MECV,,Ministère de l' Environnement et du Cadre de Vie,Governmental,0,0,0,0,03 BP 7044 Ouagadougou 03,Ouagadougou,,+226 25 33 54 84 /  05 12,,,,null,null,null,19/04/2022,BFA073,BFA
BFA074,PAFR,,Plan d'Action pour la Filière Riz,,0,0,0,0,BP 1265,Bobo-Dioulasso,1,+226 20 97 40 28,+226 20 97 66 57,cg.pafr@fasonet.bf,,null,null,null,07/03/2022,BFA074,BFA
BFA075,PNUD,,Programme de Développement des Nations Unies,United Nations,0,0,0,0,"34, Avenue du Conseil Economique et Social Immeuble des Nations Unies - Koulouba, 01 BP 575 Ouagadougou 01",Ouagadougou,,+226 25 30 67 62 / 63 / 64,+226 25 33 27 46,registry.bf@undp.org,www.bf.undp.org,null,null,null,05/04/2022,,BFA
BFA076,PROTA,,PROTA,Non-Governmental,0,0,0,0,01  BP 2682,Ouagadougou,,22650357414,22650356110,prota.burkina@fasonet.bf,,null,null,null,07/03/2022,BFA076,BFA
BFA077,SP/CPSA,,Secrétariat permanent de la Coordination des Politiques Sectorielles Agricoles,,0,0,0,0,BP 7005,Ouagadougou,3,+226 25 40 96 15,,info@spcpsa.bf,,null,null,null,05/04/2022,BFA077,BFA
BFA078,SNS,,Service National des Semences,,0,0,0,0,01 BP 1764 Ouagadougou 01,Ouagadougou,,+226 25 41 11 88,,,,null,null,null,19/04/2022,BFA078,BFA
BFA079,UEMOA,,Union Economique et Monétaire Ouest Africaine,Governmental,0,0,0,0,"380, Avenue Professeur Joseph KI-ZERBO, 01 BP 543 Ouagadougou  01",Ouagadougou,,+226 25 31 88 73 / 74 / 75 / 76,+226 25 31 88 72,commission@uemoa.int,,null,null,null,05/04/2022,BFA079,BFA
BFA080,UNPSB,,Union Nationale des sociétés coopératives des producteurs semenciers du Burkina,,0,0,0,0,03 BP 5215 Ouaga 03,Ouagadougou,,+226 25 41 10 96,,unpsburkina1@yahoo.com,,null,null,null,05/04/2022,BFA080,BFA
BFA081,UFR/SVT,,Unité de Formation et de Recherche en Sciences de la Vie et de la Terre,Governmental,1,1,1,1,03 BP 848,0uagadougou,,+226 50 30 70 64 / 65,,,,null,null,null,05/04/2022,BFA081,BFA
BFA082,CTFT,,Centre Techniques Forestières Tropicales,,,,,,BP 1759,Ouagadougou,,,,,,null,null,null,19/02/2015,,BFA
BFA083,SP/CONEDD,,Secrétariat Permanent pour le Conseil National de l’Environnement et du Développement Durable,,0,0,0,0,01 BP 6486 Ouagadougou 01,Ouagadougou,,+226 50 30 74 43 / +226 50 33 37 00,,spconedd@fasonet.bf,www.spconedd.bf,null,null,null,05/04/2022,BFA083,BFA
BFA084,CONAGREP,,Commission nationale de gestion des ressources phytogenetiques,Governmental,0,0,0,0,,Ouagadougou,03 BP 7130,(226) 78009008,,CONAGREPSP@GMAIL.COM,,null,null,null,12/02/2024,BFA084,BFA
BGD001,BJRI,,Bangladesh Jute Research Institute (BJRI),Governmental,1,0,1,1,"Manik Mia Avenue, Dhaka-1207",Dhaka,1207,88-02-9110868,88-02-9118415,info@bjri.gov.bd,http://www.bjri.gov.bd,23.43,90.26,null,17/08/2020,BGD001,BGD
BGD002,BRRI,,Bangladesh Rice Research Institute (BRRI),Governmental,1,0,1,1,"Gazipur-1701, Bangladesh","Joydebpur, Gazipur",1701,880-2-9257401-5,880-2-9262734,brrihq@bdonline.com,http://www.brri.gov.bd/,23.42,90.22,null,24/08/2020,BGD002,BGD
BGD003,BARI,,Bangladesh Agricultural Research Institute,Governmental,1,0,1,1,"Joydebpur, Gazipur",Gazipur,1701,880-2-9261501-5,,dg.bari@bari.gov.bd,http://www.bari.gov.bd,24.36,88.66,null,17/08/2020,BGD003,BGD
BGD004,SEAMEO,,Southeast Asia Ministry of Education Organisation (Headquarters),Regional,0,0,0,0,,,,,,,,null,null,null,18/11/2015,BGD004,BGD
BGD005,BAU,,Department of Genetics and Plant Breeding,Governmental,,,,1,Mymensingh,Mymensingh,2202,880-91-55695-7/2150,880-91-55810,,,24.45,90.23,null,12/12/2014,,BGD
BGD006,BARIMRS,,"Mango Research Sub-Station, BARI",Governmental,1,,,,,"Kazla, Rajshahi",,,,,,24.24,88.76,null,12/12/2014,,BGD
BGD007,IJO,,International Jute Organisation,International,0,0,0,0,"95A Road No. 4, P.O.Box 6073","Gulshan, Banani, Dhaka",,603745,(880-2)883641,,,null,null,null,18/11/2015,BGD007,BGD
BGD008,,,"Department of Genetics and Plant Breeding, Institute of Postgraduate Studies",Parastatal,,,,,,"Salna, Gazipur",1706,0681-2020,,,,null,null,null,12/12/2014,,BGD
BGD010,BARC,,Bangladesh Agricultural Research Council (BARC),Governmental,0,0,0,0,"New Airport Road, Farm Gate",Dhaka,1215,88-2-9126622/8115353,88-2-8113032/9124596,barc@bdmail.net,http://www.barc.gov.bd,null,null,null,17/08/2020,BGD010,BGD
BGD011,,,Citrus and Vegetables Seed Research Centre,Governmental,,,,,,,,,,,,null,null,null,12/12/2014,,BGD
BGD012,BTRI,,Bangladesh Tea Research Institute (BTRI),Governmental,1,0,0,0,Srimangal,"Moulvibazar, Sylhet",3210,880-8626-225,,,,24.29,91.74,null,21/08/2020,BGD012,BGD
BGD013,MoEF,,"Ministry of Environment, Forest and Climate Change",Governmental,0,0,0,0,Bangladesh Secretariat,Dhaka,1000,"+88-02-7160587, 7167916, 7161941, 7160481, 7161676, 7167240, 7169621, 7162987",-7160080-7169124,admin1@moef.gov.bd,https://moef.gov.bd/,null,null,null,25/08/2020,BGD013,BGD
BGD014,BFRI,,Bangladesh Forest Research Institute (BFRI),Governmental,1,0,0,0,"PO Box 273,",Chittagong,4000,031-681577,031-681566,bfri@ctpath.net,http://www.bfri.gov.bd,22.37,91.82,null,22/08/2020,BGD014,BGD
BGD015,BSRI,,Bangladesh Sugarcrop Research Institute (BSRI),Governmental,1,0,1,1,Ishurdi,Pabna,6620,880-7326-63414,880-7326-63888,bsri@bsri.gov.bd,http://www.bsri.gov.bd,24.11,89.08,null,17/08/2020,BGD015,BGD
BGD016,BAU,,Bangladesh Agricultural University (BAU),Governmental,0,0,0,0,Mymensingh,Mymensingh,2202,880-91-55695-7,880-91-55810,imsbau@sdnp.org,http://www.bau-mymensingh.org,24.72,90.43,null,07/07/2023,BGD016,BGD
BGD017,,,Institute of Postgraduate Studies,Parastatal,,,,,,"Salna, Gazipur",,,,,,null,null,null,12/12/2014,BGD055,BGD
BGD018,BARI,,"Horticulture Division, Bangladesh Agricultural Research Institute",Governmental,,,,,P.O. 2235,"Joydebpur, Dhaka",,391474,880-2-9353395,,,null,null,null,12/12/2014,BGD155,BGD
BGD019,,,Bangladesh Agricultural Institute,Governmental,,,,,,"Sher-e-Bangla Nagar, Dhaka 7",,,,,,null,null,null,12/12/2014,BGD195,BGD
BGD020,CIMMYT,,Centro Internacional de Mejoramiento de Maiz y Trigo,CGIAR,0,0,0,0,"c/o Can. High Comm. House 16, Road","Gulshan, Dhaka",,(8802)32516670,,,,null,null,null,18/11/2015,BGD020,BGD
BGD021,CIP,,Centro Internacional de la Papa,CGIAR,0,0,0,0,"House 6/9,B. F,Lalmatia,Satmasjid",Dhaka 7,,(8802)32516670,,,,null,null,null,18/11/2015,BGD021,BGD
BGD022,IRRI,,"Cooperative BRRI Project, International Rice Research Institute",CGIAR,0,0,0,0,GPO Box 64,"Ramna, Dhaka 2",,(8802)313830,,,,null,null,null,18/11/2015,BGD022,BGD
BGD023,FAO,,FAO Representation,United Nations,0,0,0,0,P.O. Box 5039 (New Market),Dhaka,,813072 818015 818016,(880-2)813446,FAO-BGD@field.fao.org,,null,null,null,18/11/2015,BGD023,BGD
BGD024,BARI,,"Genetic Resources Centre, Bangladesh Agricultural Research Institute",Governmental,1,,,,GPO Box 2235,"Joydebpur, Gazipur",1701,(681)2091/2063,,baridss@bttb.net.bd,,23.47,90.22,null,12/12/2014,BGD164,BGD
BGD025,BARI,,"Plant Breeding Division, Bangladesh Agricultural Research Institute",Governmental,,,,,P.O. Box 2235,"Joydebpur, Gazipur",1701,(681)2091/2063,,,,null,null,null,12/12/2014,BGD162,BGD
BGD026,,,"Department of Botany, University of Dhaka",Governmental,,,,,,Dhaka 2,,,,,,null,null,null,12/12/2014,,BGD
BGD027,USAID,,c/o American Embassy,,,,,,Adamjee Court Building (5th Floor),"Motijheel Commercial Area, Dhaka",,,,,,null,null,null,12/12/2014,,BGD
BGD028,BINA,,Bangladesh Institute of Nuclear Agriculture (BINA),Governmental,1,0,1,1,Mymensingh,Mymensingh,2202,88-91-67834,88-91-67842,dg@bina.gov.bd,http://www.bina.gov.bd,24.72,90.43,null,21/08/2020,BGD028,BGD
BGD029,CIRDAP,,"CIRDAP, Chameli House",,,,,,"17 Topkhana Road, GPO Box 2883",Dhaka,,239686,,,,null,null,null,12/12/2014,,BGD
BGD030,,,Regional Agricultural Research Station,Governmental,,,,,,Jamalpur,,,,,,null,null,null,12/12/2014,BGD163,BGD
BGD031,,,,,,,,,43-H Road No. 11,"Banani, Dhaka 13",,,,,,null,null,null,12/12/2014,,BGD
BGD032,,,University of Rajshahi,Governmental,0,0,0,0,,Rajshahi,,,,,,null,null,null,18/11/2015,BGD032,BGD
BGD033,,,Centre for Research and Action on Environment and Development,,0,0,0,0,"17 Elephant Road, P.O. Box 5007",New Market - Dhaka,1205,,,,,null,null,null,18/11/2015,BGD033,BGD
BGD034,UNDP,,United Nations Development Programme,United Nations,0,0,0,0,"P.O. Box 224, Ramna",Dhaka,,,(008802)813196,,,null,null,null,18/11/2015,BGD034,BGD
BGD035,,,Regional Horticultural Research Station,Governmental,,,,,,"Barisal, Rahmatpur",,,,,,null,null,null,12/12/2014,BGD050,BGD
BGD036,,,Chittagong University,Governmental,0,0,0,0,,Chittagong,,,,,,null,null,null,18/11/2015,BGD036,BGD
BGD037,,,,,,,,,GPO Box 370,Dhaka,1000,,,,,null,null,null,12/12/2014,,BGD
BGD038,,,Winrock International,,0,0,0,0,,Dhaka,,,,,,null,null,null,18/11/2015,BGD038,BGD
BGD039,MoA,,Ministry of Agriculture,Governmental,0,0,0,0,Bangladesh Secretariat,Dhaka,1000,-7167185,-7163713,addsecyai@moa.gov.bd,https://moa.gov.bd/,null,null,null,24/08/2020,BGD039,BGD
BGD040,,,Ministry of Planning External Resources Division,Governmental,0,0,0,0,Sere-e-Bangla Nagar,Dhaka 7,,,,,,null,null,null,18/11/2015,BGD040,BGD
BGD041,BARCIK,,Bangladesh Resource Centre for Indigenous Knowledge,,0,0,0,0,"3/7, Block D, Lalmatia",Dhaka,1207,+880-2-91 323 72,+880-2-8115 548,iard@bdonline.com,,null,null,null,18/11/2015,BGD041,BGD
BGD042,MoE,,Ministry of Education,Governmental,0,0,0,0,Bangladesh Secretariat,Dhaka,1000,,,,,null,null,null,18/11/2015,BGD042,BGD
BGD043,BAU,,Department of Agroforestry,Governmental,,,,,Mymensingh,Mymensingh,2202,880-91-55695-7/2148,880-91-55810,,,null,null,null,12/12/2014,,BGD
BGD044,CDB,,Cotton Development Board (CDB),Governmental,1,0,1,1,"Khamarbari, Farmgate, Dhaka-1215, Bangladesh",Dhaka,1215,880-2-8117728,880-2-8111417,ed@cdb.gov.bd,http://www.cdb.gov.bd,23.75,90.38,null,21/08/2020,BGD044,BGD
BGD045,,,"Central Cotton Research, CDB, Training and Seed Multiplication Farm",Governmental,,,,1,"Sreepur, Gazipur",Gazipur,1740,02/9361219,,cbsrp@cdb.gov.bd,,null,null,null,12/12/2014,,BGD
BGD046,,,No such network,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD047,,,"Plant Pathology Division, BARI",Governmental,,,,,"Joydebpur, Gazipur",Gazipur,1701,880-2-9256405,,ppdbari@citechco.net,,null,null,null,12/12/2014,,BGD
BGD048,RS-BJRI,,"Jute Research Regional Station, BJRI, Faridpur",Governmental,,,,,Faridpur,Faridpur,,0631-63487,88-02-9118415,info@bjri.gov.bd,www.bjri.gov.bd,null,null,null,12/12/2014,,BGD
BGD049,DAE,,Department of Agricultural Extension (DAE),Governmental,0,0,0,0,"Khamarbari, Dhaka",Dhaka,1215,9112308,(8802)9111502,abuhenaaminul@yahoo.com,http://www.daebd.org,null,null,null,17/08/2020,BGD049,BGD
BGD050,,,"Regional Agricultural Research Station, BARI, Barisal",Governmental,,,,,"Rahmatpur, Barisal",Barisal,,880-431-52730,,rarsbsl@bttb.net.bd,,null,null,null,12/12/2014,,BGD
BGD051,BADC,,Bangladesh Agricultural Development Corporation (BADC),Governmental,0,0,0,0,"Krishi Bhaban, 49-51Dilkusha Commercial Area, Dhaka",Dhaka,1000,"9550880-6, 9556080-9",,,,null,null,null,18/11/2015,BGD051,BGD
BGD052,,,Contact Farmers,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD053,,,"Seed Procurement, Processing, Preservation & Distribution Project, BADC",Governmental,,,,,"Krishi Bhaban (7th Floor), 49-51 Dilkusha Commercial Area, Dhaka",Dhaka,1000,02-9566719,,,,null,null,null,12/12/2014,,BGD
BGD054,,,"National Vegetable Seed Project, BADC",Governmental,,,,,"Krishi Bhaban (7th Floor), 49-51 Dilkusha Commercial Area, Dhaka",Dhaka,1000,02-9558369,,,,null,null,null,12/12/2014,,BGD
BGD055,BSMRAU,,Bangabandhu Sheikh Mujibur Rahman Agricultural University (BSMRAU),Governmental,0,0,0,0,"Salna, Gazipur",Gazipur,1706,880-2-9205310-14,880-2-9205333,vice-chanchellor@bsmrau.edu.bd,http://www.bsmrau.edu.bd,null,null,null,17/08/2020,BGD055,BGD
BGD056,RS-BJRI,,"Jute Research Regional Station, BJRI, Rangpur",Governmental,,,,,Rangpur,Rangpur,,0521-62775,88-02-9118415,info@bjri.gov.bd,www.bjri.gov.bd,null,null,null,12/12/2014,,BGD
BGD057,,,"Jute Seed project, BADC",Governmental,,,,,"Krishi Bhaban (6th Floor), 49-51, Dilkusha Commercial Area, Dhaka",Dhaka,1000,02-9552785,,,,null,null,null,12/12/2014,,BGD
BGD058,,,Public awareness section under National Plant genetic Resources Institute,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD059,,,"Regional Station, BRRI, Bhanga",Governmental,,,,,Bhanga,Faridpur,,,,,,null,null,null,12/12/2014,BGD002,BGD
BGD060,,,bari,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD061,BARI,,BARI,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD062,,,East West Seed Research and development,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD063,DAE,,Department of Agricultural Extesion,Governmental,,,,,"Khamarbari,Farmgate",Dhaka,1215,"81,212,659,112,308",8802911502,,,null,null,null,10/01/2015,,BGD
BGD064,EWS R&D,,East West Seed Research and development division,Private,,,,1,"Anchor tower, 1/1B, Sonargaon road,",Dhaka,1205,8619521-105,88-02-8618861,ewseed@multimodebd.com,,null,null,null,23/06/2017,,BGD
BGD065,BARI,,Bangladesh Agricultural Research Institute,,1,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD066,,,"Agro Services Centre, BADC",Governmental,,,,,"Krishi Bhaban (8th Floor), 49-51Dilkusha Commercial Area, Dhaka",Dhaka,1000,02-95520289,,,,null,null,null,12/12/2014,,BGD
BGD067,SPRS-BJRI,,"Jute Seed Production and Research Station, BJRI, Dinajpur",,,,,,"Nashipur, Dinajpur",Dinajpur,,88-02-9116096,88-02-9118415,info@bjri.gov.bd,www.bjri.gov.bd,null,null,null,12/12/2014,,BGD
BGD068,,,No communoty genebank,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD069,IPGRI,,Bioversity International,International,,,,,Via dei Tre Denari 472/a,"Maccarese (Flumicino), Rome",57,(39-06) 61181,(39-06) 61979661,bioversity@cgiar.org,www.bioversityinternational.org,null,null,null,12/12/2014,,BGD
BGD070,,,"BRAC, CARE, PROSHIKA,",,,,,,,,,,,,,null,null,null,31/03/2017,,BGD
BGD071,ICUC/UTFANET,,Ineternational Center for Under utilized Crops/UTFANET,,0,0,0,0,,,,,,,,null,null,null,18/11/2015,BGD071,BGD
BGD072,ICUC/UTFANET,,International Center for Under utilized Crops/UTFANET,,0,0,0,0,,,,,,,,null,null,null,18/11/2015,BGD072,BGD
BGD073,ICUC,,International Center for under Utilized Crops,,0,0,0,0,,,,,,,,null,null,null,18/11/2015,BGD073,BGD
BGD074,NCRGR,,National Committee on Plant Genetic Resources,Governmental,0,0,0,0,Farmgate,Dhaka,1215,8118275,,,,null,null,null,18/11/2015,BGD074,BGD
BGD075,,,Not involved,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD076,DNMS,,Distrct Nursery Malik Samitee,,0,0,0,0,"Upashahar, Rahshahi",Rajshahi,,,,,,null,null,null,05/07/2017,BGD076,BGD
BGD077,ACUC,,Asian Center for Under utilized Crops,,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD078,,,"Community genebank has been taken by PGRC, BARI",,,,,,,,,,,,,null,null,null,19/02/2015,,BGD
BGD079,DAE,,Department of Agricultural Extension,Governmental,,,,,"Khamarbari,Farmgate",Dhaka,1215,8121265,8802911502,daecon@bangla.net,daebd.org,null,null,null,10/01/2015,,BGD
BGD080,,,"Hill Cotton Research Sub-center, CDB, Kawkhali, Rangamati",Governmental,,,,,"Kawkhali, Rangamati",Rangamati,4510,0351/62369,,,,null,null,null,12/12/2014,,BGD
BGD081,"SS-BSRI, Chuadanga",,"Sub-Station, BSRI, Chuadanga",Governmental,,,,,"Kedargonj, Chuadanga",Chuadanga,,-62844,,,,null,null,null,10/01/2015,,BGD
BGD082,"QS-BSRI, Gazipur",,"Quarantine Stataion, BSRI, Gazipur",Governmental,,,,1,"BRRI Campus, Joydebpur, Gazipur",Joydebpur,,,,,,null,null,null,10/01/2015,,BGD
BGD083,"SS-BSRI, Rahmatpur",,"Sub-Station, BSRI, Rahmatpur",Governmental,,,,,"Rahmatpur, Barisal",Barisal,,-76522,,,,null,null,null,10/01/2015,,BGD
BGD084,"SS-BSRI, Jamalpur",,"Sub-Station, BSRI, Jamalpur",Governmental,,,,,"BSRI Campus, Jamalpur",Jamalpur,,-63983,,,,null,null,null,10/01/2015,,BGD
